well,rate,ph,cofactor,protein,substrate
A1,-0.319,6,NADH,1,blank
A2,-0.41,6,NADH,5,blank
A3,-0.443,6,NADH,8,blank
A4,-1.766,6,NADH,15,blank
A5,-0.406,6,NADH,16,blank
A6,-0.542,6,NADH,23,blank
A7,-1.838,6,NADPH,1,blank
A8,-1.768,6,NADPH,5,blank
A9,-2.237,6,NADPH,8,blank
A10,-2.253,6,NADPH,15,blank
A11,-2.06,6,NADPH,16,blank
A12,-2.36,6,NADPH,23,blank
B1,-0.395,6,NADH,1,benzyloxirane
B2,-0.251,6,NADH,5,benzyloxirane
B3,-0.365,6,NADH,8,benzyloxirane
B4,-1.515,6,NADH,15,benzyloxirane
B5,-0.552,6,NADH,16,benzyloxirane
B6,-0.423,6,NADH,23,benzyloxirane
B7,-1.859,6,NADPH,1,benzyloxirane
B8,-1.74,6,NADPH,5,benzyloxirane
B9,-2.224,6,NADPH,8,benzyloxirane
B10,-2.327,6,NADPH,15,benzyloxirane
B11,-2.027,6,NADPH,16,benzyloxirane
B12,-2.297,6,NADPH,23,benzyloxirane
C1,-0.229,6,NADH,1,oxirane
C2,-0.24,6,NADH,5,oxirane
C3,-0.324,6,NADH,8,oxirane
C4,-2.002,6,NADH,15,oxirane
C5,-0.37,6,NADH,16,oxirane
C6,-0.353,6,NADH,23,oxirane
C7,-1.854,6,NADPH,1,oxirane
C8,-1.74,6,NADPH,5,oxirane
C9,-2.228,6,NADPH,8,oxirane
C10,-2.427,6,NADPH,15,oxirane
C11,-2.006,6,NADPH,16,oxirane
C12,-2.233,6,NADPH,23,oxirane
D1,-0.266,6,NADH,1,methyloxirane
D2,-0.24,6,NADH,5,methyloxirane
D3,-0.344,6,NADH,8,methyloxirane
D4,-1.563,6,NADH,15,methyloxirane
D5,-0.351,6,NADH,16,methyloxirane
D6,-0.389,6,NADH,23,methyloxirane
D7,-1.88,6,NADPH,1,methyloxirane
D8,-1.718,6,NADPH,5,methyloxirane
D9,-2.314,6,NADPH,8,methyloxirane
D10,-2.359,6,NADPH,15,methyloxirane
D11,-2.076,6,NADPH,16,methyloxirane
D12,-2.257,6,NADPH,23,methyloxirane
E1,-0.725,6,NADH,1,propanal
E2,-0.419,6,NADH,5,propanal
E3,-1.023,6,NADH,8,propanal
E4,-1.77,6,NADH,15,propanal
E5,-0.583,6,NADH,16,propanal
E6,-0.66,6,NADH,23,propanal
E7,-1.89,6,NADPH,1,propanal
E8,-1.808,6,NADPH,5,propanal
E9,-2.398,6,NADPH,8,propanal
E10,-2.455,6,NADPH,15,propanal
E11,-2.032,6,NADPH,16,propanal
E12,-2.318,6,NADPH,23,propanal
A1,-0.56,7.4,NADH,1,blank
A2,-0.398,7.4,NADH,5,blank
A3,0.355,7.4,NADH,8,blank
A4,-4.554,7.4,NADH,15,blank
A5,-15.679,7.4,NADH,16,blank
A6,-0.434,7.4,NADH,23,blank
A7,-0.438,7.4,NADPH,1,blank
A8,-0.293,7.4,NADPH,5,blank
A9,-0.315,7.4,NADPH,8,blank
A10,-0.458,7.4,NADPH,15,blank
A11,-0.676,7.4,NADPH,16,blank
A12,-0.477,7.4,NADPH,23,blank
B1,0.15,7.4,NADH,1,benzyloxirane
B2,0.298,7.4,NADH,5,benzyloxirane
B3,-0.283,7.4,NADH,8,benzyloxirane
B4,-3.573,7.4,NADH,15,benzyloxirane
B5,-14.439,7.4,NADH,16,benzyloxirane
B6,-0.329,7.4,NADH,23,benzyloxirane
B7,-0.583,7.4,NADPH,1,benzyloxirane
B8,0.345,7.4,NADPH,5,benzyloxirane
B9,-0.31,7.4,NADPH,8,benzyloxirane
B10,-0.638,7.4,NADPH,15,benzyloxirane
B11,-0.687,7.4,NADPH,16,benzyloxirane
B12,-0.677,7.4,NADPH,23,benzyloxirane
C1,-0.241,7.4,NADH,1,oxirane
C2,-0.628,7.4,NADH,5,oxirane
C3,-0.265,7.4,NADH,8,oxirane
C4,-4.323,7.4,NADH,15,oxirane
C5,-16.001,7.4,NADH,16,oxirane
C6,-0.332,7.4,NADH,23,oxirane
C7,-0.538,7.4,NADPH,1,oxirane
C8,-0.253,7.4,NADPH,5,oxirane
C9,-0.261,7.4,NADPH,8,oxirane
C10,-0.487,7.4,NADPH,15,oxirane
C11,-0.593,7.4,NADPH,16,oxirane
C12,-0.519,7.4,NADPH,23,oxirane
D1,-0.248,7.4,NADH,1,methyloxirane
D2,-0.409,7.4,NADH,5,methyloxirane
D3,-0.285,7.4,NADH,8,methyloxirane
D4,-3.989,7.4,NADH,15,methyloxirane
D5,-14.491,7.4,NADH,16,methyloxirane
D6,-0.469,7.4,NADH,23,methyloxirane
D7,-0.415,7.4,NADPH,1,methyloxirane
D8,-0.261,7.4,NADPH,5,methyloxirane
D9,-0.228,7.4,NADPH,8,methyloxirane
D10,-0.328,7.4,NADPH,15,methyloxirane
D11,-0.331,7.4,NADPH,16,methyloxirane
D12,-0.247,7.4,NADPH,23,methyloxirane
E1,-0.268,7.4,NADH,1,propanal
E2,-0.486,7.4,NADH,5,propanal
E3,-0.517,7.4,NADH,8,propanal
E4,-2.18,7.4,NADH,15,propanal
E5,-5.577,7.4,NADH,16,propanal
E6,-0.273,7.4,NADH,23,propanal
E7,-0.516,7.4,NADPH,1,propanal
E8,-0.523,7.4,NADPH,5,propanal
E9,-0.316,7.4,NADPH,8,propanal
E10,-1.071,7.4,NADPH,15,propanal
E11,-0.456,7.4,NADPH,16,propanal
E12,-0.598,7.4,NADPH,23,propanal
A1,-9.447,4,NADH,1,benzyloxirane
A2,-8.421,4,NADH,5,benzyloxirane
A3,-21.541,4,NADH,8,benzyloxirane
A4,-23.355,4,NADH,15,benzyloxirane
A5,-23.812,4,NADH,16,benzyloxirane
A6,-22.72,4,NADH,23,benzyloxirane
A7,-10.887,4,NADPH,1,benzyloxirane
A8,-9.541,4,NADPH,5,benzyloxirane
A9,-11.132,4,NADPH,8,benzyloxirane
A10,-12.122,4,NADPH,15,benzyloxirane
A11,-11.398,4,NADPH,16,benzyloxirane
A12,-11.952,4,NADPH,23,benzyloxirane
B1,-10.689,4,NADH,1,oxirane
B2,-8.327,4,NADH,5,oxirane
B3,-22.674,4,NADH,8,oxirane
B4,-23.365,4,NADH,15,oxirane
B5,-23.716,4,NADH,16,oxirane
B6,-23.309,4,NADH,23,oxirane
B7,-12.281,4,NADPH,1,oxirane
B8,-9.725,4,NADPH,5,oxirane
B9,-10.22,4,NADPH,8,oxirane
B10,-11.455,4,NADPH,15,oxirane
B11,-11.439,4,NADPH,16,oxirane
B12,-11.524,4,NADPH,23,oxirane
C1,-9.746,4,NADH,1,methyloxirane
C2,-9.148,4,NADH,5,methyloxirane
C3,-22.597,4,NADH,8,methyloxirane
C4,-23.351,4,NADH,15,methyloxirane
C5,-23.876,4,NADH,16,methyloxirane
C6,-22.583,4,NADH,23,methyloxirane
C7,-12.136,4,NADPH,1,methyloxirane
C8,-9.357,4,NADPH,5,methyloxirane
C9,-11.09,4,NADPH,8,methyloxirane
C10,-10.172,4,NADPH,15,methyloxirane
C11,-11.357,4,NADPH,16,methyloxirane
C12,-10.998,4,NADPH,23,methyloxirane
D1,-10.705,4,NADH,1,propanal
D2,-9.086,4,NADH,5,propanal
D3,-21.196,4,NADH,8,propanal
D4,-23.461,4,NADH,15,propanal
D5,-23.448,4,NADH,16,propanal
D6,-22.145,4,NADH,23,propanal
D7,-11.197,4,NADPH,1,propanal
D8,-10.275,4,NADPH,5,propanal
D9,-11.143,4,NADPH,8,propanal
D10,-11.078,4,NADPH,15,propanal
